date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:22:23	19911/19911	---M--	200	added ('OK')	text/html	etag:%224dc7-5dcca8f993d5d%22	https://creazione.avanzare.co/reframe/demo/index.html	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/index.html	(from )
09:22:24	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2006:22:23%20GMT	https://creazione.avanzare.co/robots.txt		(from )
09:22:24	3539/3539	---M--	200	added ('OK')	image/png	etag:%22dd3-5dcca8fcd916c%22	https://creazione.avanzare.co/reframe/demo/assets/images/favicon.png	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/favicon.png	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:24	84201/84201	---M--	200	added ('OK')	text/css	etag:%22148e9-5dcca8fac8a6f%22	https://creazione.avanzare.co/reframe/demo/assets/css/app.css	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/css/app.css	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:25	22619/22619	---M--	200	added ('OK')	text/html	etag:%22585b-5dcca8f9ba694%22	https://creazione.avanzare.co/reframe/demo/shortcodes.html	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/shortcodes.html	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:25	38978/38978	---M--	200	added ('OK')	image/jpeg	etag:%229842-5dcca903104ac%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-1/preview.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-1/preview.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:25	106217/106217	---M--	200	added ('OK')	image/jpeg	etag:%2219ee9-5dcca902d286e%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-1/1.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-1/1.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:25	89757/89757	---M--	200	added ('OK')	image/jpeg	etag:%2215e9d-5dcca902ca779%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-1/2.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-1/2.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:25	40502/40502	---M--	200	added ('OK')	image/jpeg	etag:%229e36-5dcca90300acc%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-1/3.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-1/3.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:26	142118/142118	---M--	200	added ('OK')	image/jpeg	etag:%2222b26-5dcca903e6635%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-2/preview.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-2/preview.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:26	42184/42184	---M--	200	added ('OK')	image/jpeg	etag:%22a4c8-5dcca904e2361%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-3/preview.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-3/preview.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:27	160920/160920	---M--	200	added ('OK')	image/jpeg	etag:%2227498-5dcca904958c2%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-3/1.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-3/1.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:27	220203/220203	---M--	200	added ('OK')	image/jpeg	etag:%2235c2b-5dcca903d8f75%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-2/1.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-2/1.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:27	273120/273120	---M--	200	added ('OK')	image/jpeg	etag:%2242ae0-5dcca9049ca28%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-3/2.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-3/2.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:27	156463/156463	---M--	200	added ('OK')	image/jpeg	etag:%222632f-5dcca904ccf5f%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-3/3.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-3/3.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:28	55611/55611	---M--	200	added ('OK')	image/jpeg	etag:%22d93b-5dcca905c500d%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-4/preview.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-4/preview.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:28	81827/81827	---M--	200	added ('OK')	image/jpeg	etag:%2213fa3-5dcca9057f2db%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-4/1.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-4/1.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
09:22:28	77786/77786	---M--	200	added ('OK')	image/jpeg	etag:%2212fda-5dcca90583d03%22	https://creazione.avanzare.co/reframe/demo/assets/images/work/item-4/2.jpg	C:/Users/amakahhal/Desktop/WebSite/GraduationWebSite/creazione.avanzare.co/reframe/demo/assets/images/work/item-4/2.jpg	(from https://creazione.avanzare.co/reframe/demo/index.html)
